"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","youtube.com","21,776,285","100"
"2","google.com","13,771,948","100"
"3","blogger.com","28,461,334","100"
"4","microsoft.com","5,140,206","99"
"5","linkedin.com","11,313,531","99"
"6","play.google.com","3,757,582","99"
"7","support.google.com","5,102,026","99"
"8","apple.com","6,324,264","99"
"9","en.wikipedia.org","6,818,990","98"
"10","cloudflare.com","6,052,904","98"
"11","mozilla.org","2,285,319","98"
"12","maps.google.com","5,223,191","98"
"13","docs.google.com","3,103,518","98"
"14","youtu.be","4,926,130","98"
"15","wordpress.org","11,562,224","98"
"16","drive.google.com","2,283,452","97"
"17","bp.blogspot.com","17,311,588","97"
"18","plus.google.com","11,522,923","97"
"19","adobe.com","2,843,810","97"
"20","europa.eu","2,085,302","97"
"21","sites.google.com","2,120,644","97"
"22","googleusercontent.com","2,935,378","97"
"23","accounts.google.com","2,553,057","97"
"24","whatsapp.com","3,118,689","97"
"25","ryanair.com","672,725","96"
"26","facebook.com","57,618,835","96"
"27","vk.com","1,730,106","96"
"28","vimeo.com","3,503,394","96"
"29","es.wikipedia.org","941,869","96"
"30","t.me","956,814","96"
"31","istockphoto.com","3,472,496","96"
"32","amazon.com","4,854,887","96"
"33","github.com","2,668,340","96"
"34","bbc.com","866,224","95"
"35","nih.gov","1,366,012","95"
"36","search.google.com","1,309,493","95"
"37","live.com","879,697","95"
"38","bbc.co.uk","1,717,905","95"
"39","cnn.com","1,588,528","95"
"40","w3.org","1,142,888","95"
"41","google.com.br","293,944","95"
"42","forbes.com","1,487,531","95"
"43","news.google.com","762,333","95"
"44","google.de","1,126,585","95"
"45","files.wordpress.com","7,576,171","95"
"46","wikimedia.org","1,930,869","95"
"47","creativecommons.org","1,701,002","95"
"48","imdb.com","1,490,374","95"
"49","globo.com","442,644","95"
"50","brandbucket.com","11,155,351","95"
"51","line.me","804,059","95"
"52","yahoo.com","1,327,119","95"
"53","paypal.com","1,089,451","95"
"54","google.es","471,773","95"
"55","dailymotion.com","1,138,801","95"
"56","who.int","1,991,276","95"
"57","developers.google.com","1,077,567","95"
"58","google.co.jp","655,738","95"
"59","pt.wikipedia.org","413,698","95"
"60","fr.wikipedia.org","628,553","95"
"61","cpanel.net","1,578,530","95"
"62","theguardian.com","1,546,447","95"
"63","tools.google.com","1,674,668","95"
"64","medium.com","1,622,152","95"
"65","jimdofree.com","1,706,566","95"
"66","enable-javascript.com","8,208,933","95"
"67","nytimes.com","2,141,300","95"
"68","policies.google.com","2,248,767","95"
"69","reuters.com","907,437","95"
"70","myspace.com","1,384,174","95"
"71","gstatic.com","616,733","95"
"72","weebly.com","4,691,147","95"
